Categoria,ID,Nombre,Descripcion,Precio,Emoji,Foto,Disponible
"Herramientas","1272","Pinza de precisión curva RELIFE TS-15","","1.50","🧰","https://systisen.com/wp-content/uploads/2025/08/45.-Pinza-curva-RELIFE-RL-ESD-15_F.jpg","TRUE"
"Herramientas","1271","Pinza de precisión recta RELIFE TS-11","","1.50","🧰","https://systisen.com/wp-content/uploads/2025/08/46.-Pinza-recta-QUICK-QA-11_F.jpg","TRUE"
"Herramientas","1270","Pinza antiestática curva RELIFE RL-ESD-15","","1.00","🧰","https://systisen.com/wp-content/uploads/2025/08/45.-Pinza-curva-RELIFE-RL-ESD-15_F.jpg","TRUE"
"Herramientas","1269","Pinza antiestática recta RELIFE RL-ESD-11","","1.00","🧰","https://systisen.com/wp-content/uploads/2025/08/44.-Pinza-recta-RELIFE-RL-ESD-11_F.jpg","TRUE"
"Herramientas","1268","Manta térmica grande 40x30cm","","12.00","🧰","https://systisen.com/wp-content/uploads/2025/08/43.-Manta-termica-grande-40x30cm_F.jpg","TRUE"
"Herramientas","1267","Set de herramientas destornilladores de precisión 115 en 1 PRO TECNIC","","10.00","🧰","https://systisen.com/wp-content/uploads/2025/08/42.-Set-1-PRO-TECNIC_F.jpg","TRUE"
"Herramientas","1266","Set de herramientas destornilladores de precisión 13 en 1 SUNSHINE SS-5102","La punta del tornillo está hecha de material S2 con mayor dureza.
Hecho por CNC, más preciso.
El mango está hecho de aleación. Diseño ergonómico para facilitar su uso .
La base se puede girar 360 grados y es muy fácil de operar.
Ajusta la longitud según sea necesario mediante la extensión del vástago del mango.
Contiene 10 puntas de tornillo y herramientas de apertura adecuadas para todos los teléfonos inteligentes.","6.00","🧰","https://systisen.com/wp-content/uploads/2025/08/40.-Set-SUNSHINE-SS-5102_F.jpg","TRUE"
"Equipos para mantenimiento y reparaciones","1265","Plancha de calor para extracción de display BAKU BA 948E","Plancha de extracción de pantallas BAKU
Plancha para extracción de pantallas en celulares y Tablet BAKU, dispone de vacío que retiene el equipo facilitando la extracción de la pantalla mientras se calienta.
Especificaciones técnicas:
Potencia nominal: 200W
Configuración de temperatura: 50 a 120 C
Integra función de vacío
Alimentación: 120-240 Vac / 60 Hz
Incluye:
1 Plancha con vació BAKU
1 Almohadilla de silicona
1 Cable de alimentación","45.00","🛠️","https://systisen.com/wp-content/uploads/2025/08/39.-Plancha-de-calor-para-extraccion-de-display-BAKU-BA-948E_F.jpg","TRUE"
"Equipos para mantenimiento y reparaciones","1264","Pistola de calor profesional SUGON 8620DX","Especificaciones  técnicas:
Potencia: 8620DX: 1300 W
Fuente: AC110V 50 HZ /60 HZ
Temperatura: 100°C- 500°C 212ºF — 932º5
Volumen de aire rango de engranajes: 8610Dx: 1 ~ 120
8610DX: Nivel 1 ~ 200
Dimensiones: 188 (L) * 245 (D) * 135 (H) mm
Peso: 3,65 kg
La pistola de calor profesional Sugon 8620-DX utiliza un interruptor magnético que activa inmediatamente el modo de suspensión cuando el cable del ventilador se coloca sobre el soporte. Este dispositivo cuenta con un sistema de refrigeración automático, que permite prolongar la vida útil del elemento calefactor y del soporte. La configuración se puede bloquear mediante una contraseña, ya que este sensor de circuito cerrado, que no activa el control de temperatura del microordenador, facilita el calentamiento rápidamente obteniendo un ajuste preciso de la temperatura que lo estabiliza.
Viene con 5 boquillas de aire de diferentes tamaños en su soporte de cambio fácil y rápido, con ajuste del volumen de aire, en tres pantallas digitales grandes, una con la función de temperatura ajustada, la pantalla de temperatura en tiempo real y el control del flujo de aire.
CARACTERÍSTICAS:
Tiene CH1, CH2, CH3. CH4 Cuatro canales de trabajo. Puede configurar la temperatura del volumen de aire para cada canal.
Tiene una variedad de funciones de protección y funciones principales de mejora.
Con la función de suspensión automática, en estado de inactividad, se pueden configurar los parámetros
Es fácil de operar en tiempo real y tiene un control por interruptor de magnetrón.
Si el mango se coloca en la rejilla de manillas, entrará inmediatamente en hibernación
Tiene energía latente que actúa automáticamente y el parámetro se puede aplicar en hibernación
Circuito cerrado del sensor, control de temperatura con activación cero del microordenador, alta potencia, calentamiento rápido, ajuste de temperatura cómodo y estable, no se ve afectado por la salida de aire.
Los ventiladores vórtice sin escobillas, flujo de aire ajustable, amplio alcance, se pueden adaptar a una variedad de usos
El sistema está equipado con la función automática de enfriamiento de aire de gran volumen, que prolonga la vida útil del cuerpo calefactor y protege el mango del aire caliente
El producto tiene una función de calibración de temperatura. El paquete
incluye:
1 pistola de calor Sugon 8620-DX 1300W 220 V
Rework Station 1 soporte para el cable metálico del ventilador.
4 boquillas de aire rectas de 4,9 mm, 6,7 mm, 9,9 mm, 11,8 mm
2 boquillas de aire en espiral de 7,9 mm a 9,6 mm.
1 Cable de conexión a tierra.
1 Cable de alimentación.","0.00","🛠️","https://systisen.com/wp-content/uploads/2025/08/38.-Pistola-de-calor-profesional_F.jpg","FALSE"
"Equipos para mantenimiento y reparaciones","1263","Estación de trabajo mixta (cautin + pistola de calor) Baku","Estación  2 en 1 con brazo de aire caliente y cautin, manejan memorias de 3 canales independientes y calibración  por medio del sistema. 
Material T12
Potencia máxima: 540W
Voltaje de la fuente de alimentación: CA 220V ~ 50Hz / 110V ~ 60Hz
Rango de temperatura de la pistola de calor: 100 °C-500 °C/ 212 °F-932 °F
Modo de aire: motor que contiene aceite
Flujo de aire: 34-100L/min
Temperatura del soldador: 200 °C-500 °C/ 392 °F-932 °F
Potencia del soldador: 80W
Alimentación: 110-240 Vac 60Hz","0.00","🛠️","https://systisen.com/wp-content/uploads/2025/08/37.-Estacion-de-trabajo-mixta_Baku.jpg","FALSE"
